"name","ratings","reviews","friends_count","review_count"
"Stephanie H.",1,"I attended a birthday dinner for my sister there were 27 of us in total. We had made the reservation 3 weeks ago. Had to pay a $100 deposit no biggie. I get there a half hour early to decorate and they have a table setup for 12 people in the area we specifically requested not to be seated. Rhey had to scramble to setup the additional seating we needed. This should have been a sign the night was going to suck. We let that go everyone arrives they give us one waitor for 27 people. The service sucked it took over 40-50 minutes to get our food. And we all got our entrees and pieces of our orders at different times. When we finally got our good it was great. However, I will never patronize this place again the service was horrible.","78","1"
"Adria H.",1,"Horrible experience! <U+00A0>Had reservations for 8pm. It was busy. Was seated promptly & that was the only good thing that happened. We ordered some drinks and apps right away. The drinks arrived about 20 minutes later. We ordered our meals. Another 1/2 hour passed and we finally received our apps. The only item not covered in grease was the catfish nuggets. About 45 minutes AFTER that we still had no dinner!! <U+00A0>I spoke to a bartender, who said he was the manager. All he did was say, I'll see what's going on. A different server than our original popped over to our table and apologized saying it was just busy. I pointed out that we watched the surrounding table arrive after us, receive their meals, EAT their meals, and were now leaving. He really had no response to that. They did not offer to buy us a drink or make any other attempt to please us. <U+00A0>I am not one to walk out on a check, but I was pretty angry, not to mention hangry. <U+00A0>So we stood up and left. <U+00A0>Probably will not return EVER!!!","0","9"
"Robin C.",1,"The only good thing about our visit was Joe. <U+00A0>He was awesome! <U+00A0>My daughter had heard about Boiler 65 and was excited to go her <U+00A0>commencement. <U+00A0>I was upset that her special day was ruined. <U+00A0>The service was extremely slow. <U+00A0>We had a party of 12. <U+00A0>My niece went in and sat at the bar while awaiting the arrival of the remaining guest. She ordered drinks at the bar and placed an order of country wings. <U+00A0>By the time we were seated 20 minutes later, she still had not received her wings. <U+00A0>Joe seated us and took our orders both beverages and food. <U+00A0>Joe stated that he was not a server but was trying to help out by taking our order. <U+00A0>Joe said he was going to put our order in and go get our beverage order. <U+00A0>By the time Joe delivered our beverage order a different person who said he was the bar manager can to our table to take our order. By this time we had been seated for almost 30 minutes and we were just getting some of our beverage order. <U+00A0>We told the new guy that Joe had already taken our order and put it in. <U+00A0>The new guy said he was going to put our order in as a rush. <U+00A0>It was nearly an hour before we began to receive our food.The staff and manager apologized for the delay and stated it was because they were short staffed. <U+00A0>The bar manager tried to convince us that the order was put in as a rush. <U+00A0>I advised he that most of our order was seafood and there shouldn't have been anything that took more than 15 minutes to prepare.This was a Tuesday evening and the restaurant was barely half full. If you want good cajun seafood and good service, go to Boiling Seafood Crawfish on Lee Rd.Spoke to the ""real"" <U+00A0>and my niece asked to at least lower gratuity from 18% to 15%. <U+00A0>He only offer was manager to give a few desserts. <U+00A0> I will not be back. I refused to pay for horrible server.","0","10"
"Christian B.",1,"This place is terrible. If you find yourself entering this place, turn around and leave. We were sat and no one greeted us for more than 15 mins. Terrible service. I'll never be back and I will tell everyone to do the same!","3","5"
"Lucyy D.",1,"If I could take away stars I would. We had reservations at 8pm for a large group. By 11pm we we were still waiting on our food. This place is very unorganized and the Owner needs to go back to Business School or invest his money somewhere else. We had to argue and act like a bunch of foods in order NOT to pay for the dinners that they were trying to make us pay for? They kept sending watered down drinks to the table; which we weren't interested in and at one point was offered $100 off a potential 2K bill. NO THANKS. DO NOT WASTE YOUR TIME OR MONEY AT THIS PLACE! It was sad because we were celebrating a Birthday and The Boiler 65 ruined her surprise and dinner. TERRIBLE... TERRIBLE....TERRIBLE","0","1"
"Kayla G.",1,"Was very excited for a local eatery with a fun take on a meal, but was left wanting more.First, the waitress dragged our tablecloth (piece of brown paper) across the ground. Which wouldn't have been an issue had we have been given plates, but the paper was supposed to be the plates.We ordered 3 different meats and veggies. The corn was described as 3 half ears but they were lacking, barely even two bites long. The potatoes were all mashed within the meat and different shells had gotten mixed within them. This made them even harder to eat. Even the drinks were lack luster, the idea of an adult Capri sun is exciting! But when they appear to half full and lacking any flavor, $13 is quite steep. Beyond that, we sat outside and there was some poor planning on the restaurant's side. The picnic tables were wood and were all awkwardly stained with grease giving the appearance of dirty tables. I would have recommended plastic or metal options to ensure the grease stain didn't happen.I truly wanted to enjoy the food but was just so underwhelmed.","36","41"
"Tiffany J.",1,"Upon entering The Boiler 65 the decor was beautiful and the atmosphere awesome. My party of 2 was seated outside. As soon as we were seated the issues began. We didnt get a tablecloth, utensils or napkins until maybe an hr after being seated. My seafood boil had a long black hair in it and my partners food took about an hr to come out. They showed no concern or even tried to accomdate us for the bad service. It was not until my partner became highly upset, a manager trainee named Josh did his best to make up for the horrible service. Needless to say, Boiler 65 has a long way to go.","52","1"
"Augustine H.",1,"Service is terrible. Has so much promise with location and style of food but can't get over the terrible service. Whether it is waiting a long time or not getting orders right there is no reason for being this bad. Almost as if they are trying to be bad. Called for a pick up order for 20 minutes. Because I had been here before and knew the service was bad asked specifically if they were sure that this was going to be ok. Went to the restaurant 20 minutes after ordering and was asked who took my order and then waited an additional 35 minutes. If you want a crab boil go to the east side. You don't want these crabs.","150","3"
"Courtney H.",1,"The service is terrible on a Friday night with not a lot of people at the location it still took over 15 min for <U+00A0>the server to bring a drink. So i went to the bar to get my second drink and yet again it took 15 min. The food was OK the service def needs some major improvement and the waitress threw my food out when I specifically told her I wanted a to go bag","5","3"
"Kendra D.",1,"If I could rate it a zero I would. Just had one of the worse restaurant experiences in my life. First of all, I was a fan of this restaurant far before it opened. Patiently awaiting the establishment to commence business. My husband and I made our way to the restaurant Saturday 7/29. Approached the hostesss desk and were told it'd be a 30-minute wait. 30 minutes pass so we go and follow up - now being told it was an additional 20 minute wait. During this second round of waiting, I witnessed two parties on the <U+00A0>list after us get seated. Oh, and I should mention there were at least 4 empty tables. Including a two that we were told were on hold for a reservation. (In 20 minutes, that reservation never showed up). At this point we ask for a manager and he doesn't apologize. Just pours on excuses, such as someone quit today. And then sits us at one of the empty tables. As we are browsing the menu, said manager comes back and says ""it'll be a while before a waiter gets to you."" I ask how long and he says I don't know, but it will be a while."" I'm over my limit of patience, so we leave. There are two other restaurants with this style of serving, so there's no reason for me to ever patron Boiler 65 again. And you shouldn't either.","0","3"
"Sara K.",1,"I'm so sad. I wanted this to go well. It did not. We came in there were maybe 20 people in the restaurant. Our first hint things weren't going well, the hostess was out of menus. The restaurant was maybe at 20% occupancy. She said we can sit at the bar. So we go to the bar and there is a whole stack of menus. The menu was a surprise because potatoes or corn was ""extra"" and not part of the boil. We continue to try and ordered the adult Capri sun style drinks. They are 13 bucks... and mine was decent, the lemonade the other was pretty bad. The server offered to fix it and asked what else we would like to put in it. Opted for some ginger ale and it improved. While we were waiting to put in an order we started to see the disarray. Tables were coming to the bar to get drinks while all the servers were hanging out in the back fixing their own drinks. One table was completely ignored for at least 20 minutes till an off duty employee intervened. We put in an appetizer order, still trying. Out came calamari. Extremely over done. No sauce. We were asked if we wanted hot sauce or tartar sauce. Tartar sauce and seasoning was solid. We realized things weren't getting better and tried to cash out. 2 drinks and an app 40 bucks. It took 20 more minutes just to leave. We were told the printer was out of paper. If they got some staff training and front of the house management I feel like they could make progress. People seemed to enjoy the food once they got it. Maybe we will try again.","56","36"
"Wanda L.",1,"Service was VERY slow. I waited 15 standing by the bar before someone bothered to tell me that takeout order would take 35 minutes and when I came back after 50 minutes I waited for another 15 minutes. When I finally got home I realized they were missing the potatoes in my order. And no napkins utensils or anything. Terrible experience. Will not come back.","125","5"
"Ohio City G.",1,"Full candor, I didn't even eat here. <U+00A0>We tried to though, but no one would seat us despite the place being empty (sans two children's birthday parties). <U+00A0>Pros and cons from not eating:Pros: <U+00A0>Inside buildout is solid, if not a little empty feeling.Cons: <U+00A0>Outside was forgotten. <U+00A0>They've got a great patio space which they just gave up on. <U+00A0>Plant some flowers, put up some cafe lights, stop being lazy. <U+00A0>This whole place seems lazy.Put a f*^cking host at the front. <U+00A0>We just stood at the front of the restaurant for 15-20 minutes with no attention. <U+00A0>Turn on some tunes. <U+00A0>STOP serving your food in plastic beer tubs (it's not charming, it's janky). <U+00A0>If you're going to charge those prices, increase your quality, your portion size, and your presentation (e.g. your laminated menus are straight out of a public school cafeteria). <U+00A0>I'm glad they built this place out for the next tenants, because without a re-brand, this Dave & Busters version of a seafood restaurant has a 6 month half-life.","2","17"
"Monty C.",1,"Nothing good to say here.Walked in and the place seems more like an ""urban club"" than a restaurant. Group of ""people"" outside the front door loitering making it very unwelcoming as they whistled at my girlfriend on the way in the door. Bunch of losers. Management and staff completely clueless and unprofessional. And the GM, Tre, is a fowl mouthed, unprofessional, ignorant, going no-where manager.Patio is a complete mess and a total joke.Radio is playing the owners Pandora mix over his phone - totally illegal by the way.Restrooms were atrocious.Food took over 45 minutes and the place had about 30 people inside and out. This place is a train wreck and I guarantee it won't last 6 months. Never going back!","0","8"
"William G.",1,"Not so good! I have eaten in New England, New Orleans. Fla .ga. Every king of seafood all over the country. And I have never left a seafood house as disappointed as I was here . Save your money","0","6"
"Lucas L.",2,"As soon as my girlfriend I arrived, six workers were chasing a family out of the restaurant....ya, you can already tell how this experience went. Apparently they got up and just left because they waited over thirty minutes for their dinner. I guess the food was done right after they had gotten up, hence the workers chasing them down to pay the bill, but they didnt..understandably. On to my side of the night. We walk in and the hostess barely cracked a smile. There was literally one girl seemingly doing everything while others just stood around. We had got the food to go fyi. The wait was longer than expected, close to thirty minutes give or take, and the place wasnt busy. As for the meal, we were so disappointed. We got two seafood boils. The sauce was basically mild wing sauce mixed with a pound of lemon juice. More sour than anything. Not a trace of garlic to be found. Imo, that ingredient is crucial. All in all, <U+00A0>they need to hire a new hostess that is pleasant and welcoming, less lemon, and faster service. We will not be going back any time soon.","0","1"
"Mazen A.",2,"I came here after work with a coworker. As we walked in, there was approximately 10-15 people waiting for tables, however there was no one in the restaurant and there were several tables available. As I stood there waiting, the hostess saw me as I walked in and she continued her conversation with her other co workers. She then took my name down and informed there was a 20 minute wait, however I was still in awe because the restaurant was empty. As we were waiting, another couple came in and they were seated prior to us. I believe the hostess name was Nauca (unknown on correct spelling), however she was rude and unprofessional. Even upon sitting us, she did not say a word, threw the menus on the table and walked off. Thankfully our server, Emily, was amazing. She was kind, prompt, and respectful. Her knowledge of the menu was excellent and she did not disappoint. We ordered the broil for two, and was not disappointed. The food was tasty. A lot of effort for little meat, however I enjoyed the experience and the flavors. The location is ideal and opened windows allow you to get a nice breeze. The ambience was good and appreciated the open layout. As mentioned earlier, I was just upset with our hostess and her attitude. I am not sure if I will come again just based on that.","125","20"
"Chris D.",2,"So I really wanted to give this place more stars. But nope can't do it off the services and the environment alone. I'll start off like this.... have u ever been at a table and u just got ur food and some one ask hey are u gonna use the salt and pepper (because they want to use it at another table that's not even there yet). This whole situation just got dumber all the way till we were about to leave. But I will say this. The food was amazing. The boiling bags were expensive but worth it based on ALLLLLL THE FOOD in it. Also we their wings and cat fish were season well and delicious. This place would be perfect for the to go menu. So DoorDash or Uber eats or even grub hub this whole experience. But don't sit down. Now back to the dumb ish. So if it's ur first time there u would think someone would give u a run down on the menu and the specials cause this place is a bit unique cause they sell bags of seafood that you pick what all goes into. ANYtime the menu has steps 1 through whatever on it, the server should give you a rundown. But no this didn't happen until. I said ""yo so we have never been here. You should give us and explication on how things work."" <U+00A0>I'm assuming kid was new cause he was confused the whole time. <U+00A0>Next we order shots of absolute, I don't believe this is the servers fault but still I must mention it. Dude comes back and says we don't have absolute. We go ok well let get Tito's. He then comes back with 4 absolute shot glasses with I'm guessing Tito's in it. I was to dumb founded to even think about anything but I need this drink now. Then he comes out with the food, which includes the appetizer we wanted first. Yep instantly pissed about that. So does it get better u ask. Nope, the. He never brings the bibs which everyone else has, napkins, crackers for the crab legs and for gets we ordered more drinks. Also I didn't want coleslaw I wanted to substitute it for more fries which he suggested and came out with coleslaw. On a positive they added crab legs to my girls boil bag which we didn't order so that was a win. So this whole experience, other than the food which was good, was a joke. Even the hostess looked like she was posing for Vogue. <U+00A0>Like i just wanted a smile and how u doing not a straight face like ur ready for the picture that's not being taken. Like I said the food was great but I refuse to go back. Shit cost too much for all that extra lack of customer service. If it wasn't for them hush puppies I prolly hated the whole experience. But like I said. The food was amazing","99","37"
"Tasita G.",2,"The food was alright for a seafood place in Cleveland.The service was okay, my server, James was nice and helpful during my dining experience. However, when I noticed the next day that i was charged TWICE for my bill, that's when the unprofessionalism, rudeness and harshness came out when I called the next day. I called Sunday, May 6th at 12:06PM and I woke with a gentleman who said he was a supervisor. When explaining my situation he immediately sound annoyed and I could hear him sighing with impatience. When he took my information he put me on hold, I could hear how him, my server and a couple other employees there speaking to each other and it was disturbing... I could hear the manager yelling at my server the night before and my server responding back in a negative way. I could hear him yelling ""I only charged her once, look. look!!"" And he yelled back ""you're the only white guy who fits her description!!"" When they found my signed copy. After they found my ticket from the night before, the one I signed, they told me unless I had my customer copy they weren't going to do anything about the issue. Trying to have better understanding of the situation, I asked ""even though you have my signed copy and I have my bank statement saying there are 2 separate transactions for $87.48 you can't do anything without my copy?""The manager told me no and hung up on me when I asked for his name so I could speak to him in the future if I found it. The situation honestly made me feel horrible and uncomfortable, especially knowing I'm out almost $100 for nothing and they don't even care. This was my first time dining in at Boiler 65, and I thought I had found an amazing new seafood restaurant I can go to, but unfortunately I will not be returning.","0","3"
"Darryl P.",2,"Very overpriced and over seasoned. This is Joe's crabshack five times more expensive and 10 times less tasty. My wife and I complained about the food first thing the manager said was sorry no refunds. So beware. If you are a seafood lover this just is not what you're used to. My advice is to skip the boiler 65","62","1"
"Rosalyn R.",2,"The service was bad, the waiter forgot bout us and blamed on being short staffed. The food was ok. I will not be returning to this place","0","3"
"Eric M.",2,"Might be the worst service in Cleveland. The food is pretty damn good though!! Would never go back, but might get take out","0","2"
"Lauren O.",2,"The food is good, but waited over 20 minutes just to get water, and over an hour for our apps. Lacking customer service is an understatement. Asked them to check on things multiple times. Dinner came before the salads. Pretty unhappy.","181","1"
"John B.",2,"What sucks is that the food is good and the venue is cool, but it is literally the worst customer service i have ever experienced. It's like they hired servers that had no intentions on ever being servers. Waited at our table for fifteen minutes without being seen. Finally tracked down a hostess who had to run around the place to find someone that was willing to serve us. I am saying willing because i saw her ask one server who obviously didn't think it was his job to see our table. Been here two occasions and have had the same results. What a shame","6","1"
"Hayley R.",2,"BAD service. Came with a party of 9 for a birthday. Made a reservations a week in advance, and they did not have a reservation for us when we arrived. All our meals were brought out at different times and one meal came 25 minutes after all the others. I had to go to the bar to get ketchup, since the waiter kept forgetting to bring it over. We brought a cake, they kept it in the back and they said it would be brought over right away when asked, and I am still waiting for the cake now while I am writing this review. Won't be recommending to others. Has high hopes, food was good but highly disappointed in the service.","3","6"
"Aisha M.",2,"Food tastes good but they used way to much seasoning on certain foods it's like when you double season your food and it's salty, just high blood pressure waiting to happen.Customer service was HORRIBLE ... we at down at 7:30 and ordered but didn't eat until 8:45 almost 9:00 not mentioning out food came out in portions (not all together) so it you order multiple things don't expect for it to all come out at the same time. Our waitress was what made the visit worse, we tried to be understanding that she was new but she messed up our bill at the time of check out and it took over hour to fix our bill because the manager wouldn't help her (because she needed to learn the new system) and after the FOURTH time she gave it to us wrong he stepped in and told her to just erase the bill and retype it in but at this point we had been waiting for over a hour to receive our bill they eventually fixed it and took something off but I won't ever go back and recommend this place which is kinda disappointing.","0","1"
"Vern D.",2,"I""m not sure about this concept . Or the layout <U+00A0>with the big open doors in the front and nothing inside the door. I'm not with it. <U+00A0>I ate here twice, because the wife loves seafood. I'm from the neighborhood. <U+00A0>The food was excellent <U+00A0>and expensive. Service hit or miss. My opinion. They got operational issues. Maybe they ran out of money or something like that, or got sold before it opened. Its not inviting to come in and eat. <U+00A0> the patio is laid out wrong, The exhaust fans belong on the roof, But the big issue with me , and I cant see how they can fix it. Is <U+00A0>the garbage stinks to high heaven in summer of rotten seafood. Its the city lot layout. They cant hide the garbage dumpster in the summer, and its ruined the patio, and it stinks far away. and I'm not going back to smell stinking garbage. <U+00A0>This is more about pitfalls of doing business in a city on small lots. Selling seafood. My opinion is it wasn't thought out correctly. I generally drive to the Kumo seafood buffet on snow road if I want seafood. I was hoping for a close to my house location but this aint it.","0","15"
"Christine M.",2,"No one seated is do we sat at the bar where we had to ask to get a drink. No wine. We left. Food looked good but shitty service will close this place down.","5","10"
"Sharon S.",2,"Walked in with my husband. <U+00A0>Grabbed a seat at the mostly empty bar. Employees/bartender busily chatting away with each other. <U+00A0> Ten minutes pass... nobody looks at us. <U+00A0> We leave. <U+00A0> End of review.","6","8"
"Ryan L.",2,"Went to this restaurant on 6/22/2017. The service was pretty poor. It took about 10-12 minutes for a waiter to bring us water when we arrived, and the place didn't even seem busy at that time.The food is on par at best. Their crawfish are laughably small and it is unsatisfying to eat them. I would not go to this restaurant if you plan on satisfying your hunger, as the amount you get is small for the price. Because this just opened, I will visit this restaurant again in a few months to see if they made any improvements. But as it is right now, I would not recommend it to any of my friends.","68","3"
"Nikki H.",3,"I was really excited about trying this place. It was just ok! I must say someone said it's like an expensive Joe's crab shack, and I must agree. The place is huge and the service was ok. The food came out hot. The crab boil isn't what I expected though. You have to order everything separately. <U+00A0>Potatoes, corn, and sausage is normally in these types of bags, so to have to order them separate with an additional cost is crazy. The corn on the cob were tiny. It looks as if they cut a whole ear of corn to be able to give these tiny pieces. I was disappointed with that. I probably would not visit again, just was not impressed...","17","14"
"Ryan W.",3,"We ate here and split an order of fries along with one of the steamers of mussels and shrimp. Overall the food was pretty good and the service was good also. They serve up steamed pots of seafood with veggies and offer several degrees of spiciness & seasonings. It was tasty, but also very messy. They provide bibs & plastic gloves which helps, but this this definitely wouldn't be a ""first date"" kind of place! A good place to try, but I'm not sure it's something I'd try again.","1","21"
"Annette S.",3,"2nd visit and still sub-standard service from bar and ordering. Food was delicious and served promptly after ordering. Host/ess station poor, initial table greeting/water service poor -- went to bar to grab cocktails and only one bartender who was overwhelmed. Paid $$$$ but poor customer service overshadowed the goodness of the whole dining experience","0","8"
"Pluto O.",3,"I've eaten here three times. The food is fantastic. Way better than I honestly expected for a seafood joint in Cleveland. I day dream about going back for the food quite often. However, all three times I've eaten at The Boiler I've had absolutely terrible service. I've had a different server every time and all three of them have taken (no hyperbole) 20+ minutes to bring me a soda or a beer. That's INSANE. They always forget something and they completely disappear from my area for extended periods of time.Shoutout to whatever FOH manager is reading this, I completely blame you and not your staff. The fish stinks from the head. Handle your business, set some standards and train your staff.This place has so much potential.I will gladly rewrite this review if during my next visit I see improvement.","0","4"
"Alison H.",3,"The one thing I will say is this.. the food is delicious.. but the WAIT?!? Super long.. we came in with a big birthday party.. they provided us two servers to assist.. half of our table got food waaaay before the other half.. like I understand we have two servers but why are we still waiting and the other side of the party is already done eating. Ridiculous!! Great food but this insane.. also 3 Long islands.. $50!! Insane.. I may or may not be back..","135","31"
"Siroda D.",3,"Went here with two girlfriends. Having been to another local place with a similar concept, I knew what to expect. <U+00A0>The restaurant itself is nice enough. Very spacious and open. <U+00A0>I arrived after my friends and they let me know that once they were seated, no one came to the table for at least 20 minutes. We all placed drink orders and were happy with what we got from the menu. We had their adult Capri Suns and I can definitely recommend those. We ordered <U+00A0>Chicken and Waffles to share and found that one of the pieces of chicken <U+00A0>was not cooked all the way through. It was still bloody by the bone. They did take it away and make a fresh batch . I also wish that they had more than one combo meal for the seafood. But it was more than enough for the three of us. We got their Bomb Diggity sauce and it was pretty good. They allow you to customize how spicy the dish is. <U+00A0>The server also suggested that we could add spice after the fact. We decided to do that and found it it was still lackluster. They provided plenty of napkins, wet naps, crackers, gloves, and bibs. Service was adequate after that slow start. They checked on us pretty frequently, which we appreciated. All in all, I won't be rushing back. But if you're into this Seafood in a bag setup, it may be worth checking out.","123","27"
