"","x"
"14","Very nice ambiance here! My waiter was so nice and very patient. However, our food took long to come and so did our appetizers. Thank God my mom and I had salad and breadsticks to keep us busy. They were absolutely delicious. I would have given the restaurant 5 stars in spite of everything I stated above except this one thing I cannot let go. Guess what guys??? I got my plate of mushroom stuffed ravioli (only like 6 of them, really?) and one of the ravioli wasn't even stuffed!!! I got a flat ravioli pocket! I'm chuckling to myself as I write this because it's hilarious yet disturbing since Olive Garden is an Italian restaurant! So funny though! I'd like to leave on a good note though....I did get the dish for free after I mentioned it to the waiter. So thank you!!"
"15","The food was good last I visted. I eat out a lot. The service could be better, the waiting time too."
"16","Food is always alright once you get it and they usually get your order right.  The WAIT is awful.  I hate waiting while you can see empty tables.  I would much rather be seated and sipping on a coke waiting. This has to be the worst managed restaurant ever.  When you do have problems manager always have an excuse and never an apology or what can I do to make it right attitude.  I have been here with our family and extended family where they food was so slow to come out that people were done eating before the last person got their food.  I only go here as a last resort."
"17","This location is under staffed. There aren't enough servers to accommodate all the tables in the Restraunt, but the service more than makes up for the wait ! I got the chicken Alfredo, my mother got the shrimp scampi, and my sister got the shrimp Alfredo. All of our dishes were cooked great. The gnocchi noodle chicken soup is top notch, it's like potato soup, chicken and dumpling, and chicken noodle got together and said, ""TASTE THIS!"" The garlic breadsticks were a bit heavy on the garlic salt. We were given a full table salad to take home, and each one of us were given personal to go breadsticks. Ask for Natalia, she's very friendly and good at her job! Super sharp, on point, and gives you plenty of Andes mint chocolates as you're gearing up to head out. 4/5 stars for having to wait to be seated so long in the middle of the day."
"18","Very nice ambiance here! My waiter was so nice and very patient. However, our food took long to come and so did our appetizers. Thank God my mom and I had salad and breadsticks to keep us busy. They were absolutely delicious. I would have given the restaurant 5 stars in spite of everything I stated above except this one thing I cannot let go. Guess what guys??? I got my plate of mushroom stuffed ravioli (only like 6 of them, really?) and one of the ravioli wasn't even stuffed!!! I got a flat ravioli pocket! I'm chuckling to myself as I write this because it's hilarious yet disturbing since Olive Garden is an Italian restaurant! So funny though! I'd like to leave on a good note though....I did get the dish for free after I mentioned it to the waiter. So thank you!!"
"19","The food was good last I visted. I eat out a lot. The service could be better, the waiting time too."
"20","Ordered the steak Gorgonzola, eating my food only to find someone's disgusting finger nail in there. Not to mention your standing waiting forever to be serviced when two girls are right by the front chatting it up paying no attention to the customers waiting to place a hold for their seat. I will make the drive out to the one on Parma from here on."
"21","The service was nice. The food is good.I didn't order something complicated but what I ordered was as good as it could be. And, it took a reasonable time to get it."
"22","I ordered a catering order for lunch for around 20 people. The delivery person was on time and we received everything that we ordered.I'm not the right person to actually be reviewing the food since working for Panera Bakery was my first job waaaay back when I was 16. However, everyone was happy with their boxed lunch sandwiches and catering sized Caesar salad. I would not hesitate to order another large catering order from them again."
"23","Do not go to this Panera Bread, the service is absolutely ridiculous. Every single time I go there my order is messed up. Today they gave me two different sandwiches and still did not get it correct. Don't waste your money and save yourself a headache, they should be out of business. The last time my order was messed up I called and was lied to by an employee who told me they were a manager. He then continued to call me vulgar names, the GM didn't seem to care about this."
"24","How does a Panera Bread get an overall score of 1 star?  Go there to find out.  You will never forget it.  Why JAB Holding Company doesn't do something about this location is anyone's guess.  I wish I could give it less than one star. Full disclosure:  The *food* (that we actually got) was fine.  :-O"
"25","I love Panera Bread, especially this location. My food is always out quickly and the temperature is spot on. I have visited this Panera when out of town guests, friends or family are in town. I've even met here to sign papers. This location is friendly and inviting. I've even seen multiple people use the space to have meetings and interviews."
"26","Let's face it Cici's is far from gourmet pizza. What is nice about the buffet here is the diverse array of options on the buffet at any given moment. If you like pepperoni... there is a pepperoni... if you like vegy... there is a vegy... this is definitely good value for the money."
"27","For $6 to get all of the pizza you can eat. You can have any kind of pizza you can dream up using the toppings they have. That being said it's not really quality your getting here, just quantity, as much quantity as you want."
"28","Yup, got to love the made to order, hot subs.  Even their cold cut subs are pretty good.  Their bread is all fresh and large.  So you do need to be careful, because a medium is a large sandwich.  So my approach is to get a medium, then take all of the contents of one of the halfs and put it into the other.  Wastes bread I know, so save it to snack on if you like.The restaurant is old school and and only has booths.  The booths can only hold 4 adults, so not great for larger groups.The sandwiches are made to order, so at lunch you could end up waiting in line.  Worth it if you have the time."
"29","I'm in love with these subs! I get the Veggie with everything except olives. It was like a party in my mouth!The small had to be at least 7"". I almost couldn't finish, but pushed on because it was so delicious.Take a minute and join Club Bread. I received a small sub for free. This would likely become my sub establishment of choice if it were closer to home.Great food and great service."
"30","Stopped in for lunch. Ordered the godfather. I give the sandwich a thumbs up. If you get a large sub, it is huge!"
"31","Fabulous bread and decent amount of meat on BIG sub. My medium is basically two lunches. Tasty pasta salad and no problem with big order for entire office."
"32","I worked up to courage to give Dibella's another try after my previous disaster of a sandwich on a prior visit.  I followed my own advice and kept it simple.Small cold turkey sub on everything bread.  Loved it.The bread is so fresh and chewy.  Veggies are fresh and the turkey was plentiful.  For a sub shop it gets 4 stars, just be careful what you order.  ie Avoid the Dagwood and avoid the hot sandwiches if it involves cold cuts.  It's quick and cheap (especially if you have someone to share a sandwich with).  It's comparable to Jimmy Johns with better bread and bigger sandwiches."
"33","This place sucks!!! I get there at 8:30 and they are already closed and have cleaned everything up. I come back another night earlier and they are already cleaning up, but they let me order I order a medium turkey, ham, and bacon hot sandwhich with provolone and tomato, lettuce, and mayo. I receive my sub and it is a small sub does not have any bacon, no lettuce and no mayo!"
"34","Very good subs, they have great bread and they load the sandwich up with meat.  We order at work all the time for meetings and people absolutely love them.  They are also reasonably priced for what you get.  My favorites are their tuna, the Dagwood, and the Godfather.  Make sure to get their ""everything"" bread, it is just like an ""everything"" bagel.  Delicious."
"35","I just left the restaurant with a sub meal to go. I was greeted promptly and everyone seemed very nice. While waiting for my food, the woman making my sandwich at the grill corrected another employee about the prep, which quickly turned verbally combative in nature. All of this while 3 customers, me included, stood by not knowing what to do during the exchange. If the woman was a manager, she should know to bring up needed information away from customers, not call employees out on the spot, for all to see AND hear. I was so embarrassed by the spectacle, I will NOT be returning. The sandwiches are very good, but not good enough to suffer through the humiliation of fellow workers. Great job on loosing a customer."
"36","Chains can only star so high in my life, because they can only be so good (or bad!). This location gets good enough marks. Dibella's is like Subway with better bread. Their small is actually twice the size of what I thought it would be. But they are not going to replace other sandwich shops for me. They really go light on the fillings unfortunately. I actually had to take half the bread away because it was just a horrible ratio of tuna to bread."
"37","Stopped in for lunch. Ordered the godfather. I give the sandwich a thumbs up. If you get a large sub, it is huge!"
"38","Fabulous bread and decent amount of meat on BIG sub. My medium is basically two lunches. Tasty pasta salad and no problem with big order for entire office."
"39","I am disappointed in management not responding to a complaint. I ordered a vegi sub, being vegan, and told the girl I wanted every vegi. When I got gone it I rained every meat they had. I had to pitch it. Tried contacting the location and received no response back. Poor customer service the girl who made sandwich was very nice bit management needs to figure out how to deal with issues"
"40","Stopped in to DiBella's with wife, mom, and son yesterday for a quick Valentine's Day lunch.  I ordered a medium Philly Cheesesteak, my son got a turkey and cheese, my mom ordered a Godfather, and my wife ordered a Buffalo chicken sandwich.  We paid, grabbed our chips and drinks, and then sat down with our numbers so the waitresses could see them.  They build your sammich and then hunt around the restaurant looking for your number.  When they see your number they give you the sammich and you can begin your indulgence.  DiBella's subs are larger than most sub shops because they give you almost twice the bread as other sub shops.  I'm really not a fan of all the bread, but it is fresh baked and very tasty.  I ordered my cheesesteak on 'everthing' bread, which had a great taste.The quality of the steak used on the sandwich was very good.  I tasted the meat by itself and it had a good texture and a great taste.  The rest of the sandwich was delicious.  I loved it.  It was almost too big to eat at one sitting.  The large sandwiches - don't even go there and less you want to share one amongst two or three people.  I tasted my wife's Buffalo chicken and it was also delicious.  My mom gave me a bite of her Godfather and that was really tasty too.  My son's small turkey sub was too much for him to polish off, but he made every attempt.  Excellent subs!"
"41","Only reason I'm not giving this place 5 stars is because it is designed as a fast food Asian joint and is not a fancy, sit down type restaurant. Everything else about this place is stellar. You literally have over a dozen things to select from to build your plate. I'm a sucker for orange chicken and this place does it perfectly. Also their shrimp here is fantastic. Whenever I'm in Parma visiting my buddy, we tend to pick this place over other options. Good value and great food make this place a no-brainer."
"42","This is my favorite place for lunch, plenty of choices but I am always eat Orange Chicken."
"43","First time to Panda Express not the greatest would of expected better it was not what I expected 2 hour drive.    The staff was ok not the greatest, not one of them smiled. The thing I did not enjoy was how the staff did not get the customer order right. . I feel like friendly ness of the staff could be improved and better. The low main noodles was so dry with no flavor.I find it kinda strange how majority of it entree items were missing hardly of a selection to choose from. The orange chicken was spicy had a bite to it the black pepper chicken was not black pepper chicken like you find at a Chinese buffet Thanks panda I won't be back"
"44","They have decent food but I definitely consider it expensive for the quality you're getting. I've also noticed on multiple visits that none of the employees ever wear gloves-- like they all serve and cook the food bare handed."
