"","x"
"18","I had the Stuffed Chicken Marsala, its was very good. My companion had the Salmon Piccata, she was very happy with her meal.  The salad was also very good, fresh crispy lettuce, good tomatoes, and purple onion.  Our waiter, Mitch, was excellent.  He was efficient, pleasant and very accommodating.  He made our dining experience a joy.   We didn't have to wait for anything, maybe because we arrived just after five.  Get there between three and five to pick from a discounted menu.  We would go back. Ask for server  Mitch.  Very good job, thanks Mitch."
"19","I do not need to say anything,check the pictures say is all!!!! I am really upset!!! This panera needs a new manager for sure!!!"
"20","I went to Panera frequently (embarrassingly frequently) during my first two years of medical school in Pennsylvania.  Since I moved to Ohio, I haven't been here as often, partly because I'm burned out on it, and partly because there's better options in the neighborhood.  However, every once in a while a craving strikes and I make a visit.For whatever reason, this location does seem a lot slower than what I've been used to in the past.  This is especially problematic if you're trying to get a coffee and pastry to go in the morning.  Unlike other reviewers, I haven't had any problems with the employees being unfriendly or lazy, just not as quick as I'm accustomed to.  On the bright side, my to-go online orders have always been ready on time.  If you are planning on spending time to work or visit here, timeliness isn't as much of an issue, and then it's not such a bad location.  There are more outlets than I'm used to finding, WiFi works reliably, and the store itself is pretty clean.I may not be a regular here like I've been in the past, but it's not a bad spot to end up for lunch, especially if you're hungry for tomato soup."
"21","CiCi's pizza is awesome! It has a buffet of pizzas. Excellent soup and salad.Then it includes a delicious dessert, with brownie cake,  cinnamon buns, and apple pie pizza.Overall, CiCi's pizza should get 100 stars, from its quality of food."
"22","We decided to eat here after dropping someone off at the airport and heading back home.  The kids, for the most part, enjoyed the pizza; however, the reviews that compare this restaurant to a dumpster are not lying.  Even though the price is cheap, we still deserve a clean place to eat.  The restaurant is disturbingly disgusting.  The workers were mopping up messes, but the mop water smelled putrid. I felt so bad for taking my kids there. I will give the restaurant an extra star because the people that work there were friendly and doing their best to keep up with the throngs of people. Still, no other word but disgusting.  I made the kids take their shoes off even before getting into the car because the floor looked THAT disgusting."
"23","CiCi's pizza is awesome! It has a buffet of pizzas. Excellent soup and salad.Then it includes a delicious dessert, with brownie cake,  cinnamon buns, and apple pie pizza.Overall, CiCi's pizza should get 100 stars, from its quality of food."
"24","Went to cicis this past weekend and I  will no longer visit this particular location.Restrooms were nasty,the employees used to be outgoing and friendly now they act like rehearsed robots.Atmosphere has changed so much in the past month or so.The food was ok but not plentiful.I was a so pleased with my past visits but no longer now.Good bye Cicis at Ridgepark"
"25","Large sandwiches for the $$. However I ordered a cheesesteak sandwich with everything on it. When it arrived to my table and opened it, only meat. Nothing else. Very blah. They were too busy for me to reorder and was a disappointing experience."
"26","Yup, got to love the made to order, hot subs.  Even their cold cut subs are pretty good.  Their bread is all fresh and large.  So you do need to be careful, because a medium is a large sandwich.  So my approach is to get a medium, then take all of the contents of one of the halfs and put it into the other.  Wastes bread I know, so save it to snack on if you like.The restaurant is old school and and only has booths.  The booths can only hold 4 adults, so not great for larger groups.The sandwiches are made to order, so at lunch you could end up waiting in line.  Worth it if you have the time."
"27","To be honest, I have been really a loyal fan of this sub. Both my husband and I like the grilled sandwiches here very much. But today, I have to submit a complain here. I ordered two grilled sandwiches by phone around noon. (2018-03-7 10:17am) The experience is very very unhappy. The man who answered my phone speak in a very unpolite tone which makes me feel very uncomfortable. At the beginning, I asked to order two medium grilled sandwiches. He asked me which kind. I said I want to build my own. Then he asked me again which kind? I answered I wanted to build my own sub. After that, he start to be rude in his tone and He don't ask me what kind of bread that I want, what choices do I have for the meat, vegetables,...  He just waited there and when I said I want all the vegetables except olives, he said I have to name all the vegetables that I want but do not providing me any choices!!! When I finished my order for the vegetables, he didn't ask me whether I need any source or cheese. Just told me the time that it would be ready and then hang up the phone! You can not imagine how hard his tone is and this experience make me feel do not want to eat sub or anything anymore!!! His tone when he speaked to me makes me feels like I am his enemy!A fan who loves your sub"
"28","I grew up on the Gulf Coast and I miss the crawfish boils and delicious, well-seasoned seafood. After basically giving up on finding good Cajun food in Cleveland, particularly crawfish, I am so happy that this place has opened.Went there on 7/7/17, and they said they've been open for a couple weeks. They're clearly still figuring things out. Our waitress let us know that they're still seeing what's popular before they put together combo meals, and that one of the mixed drinks wasn't being made anymore because it hadn't gotten a good reception. I thought the food was hands-down delicious, and I appreciate them being critical enough of themselves to be in a period of morphing their menu toward what the customer enjoys.Their format now is you choose your seafood by the pound, a sauce, a spiciness level, and any sides. It all gets cooked in a bag to make a big bag of deliciousness. We got shrimp, mussels, crawfish, corn, and potatoes with hot bomb diggity sauce. Definitely a delicious and fun meal. Overall, the experience, service, food, and drinks were all great. Can't wait go to back."
"29","I visited this restaurant on a Friday evening with my boyfriend and we both had a wonderful experience. The staff was very attentive and we were immediately sat. We chose to sit at the bar and our bartender was very personable and made us both the wonderful capri sun style drinks. We ordered calamari, the crab legs, sausage and shrimp. The sausage was AMAZING as were the crab legs. You get a good amount of food relative to price. The place is clean, well lit, and has great decor. I think it is in a great location and a rare restaurant in Cleveland. I would definitely go back! If you had a bad experience, give the place a chance, all new restaurants go through ups and downs but Cleveland deserves a boiling seafood restaurant!"
"30","We got a pound of clams and some sides. The clams were covered in a delicious sauce (the third option, forget what it's called). Unfortunately, many of the shells were empty. Upon complaining we received excellent service- drinks on the house and beautiful conversation with the cook, Team Ny  (his real name -- ask him about it.) Stop in, it's a comfortable place with innovative food. (But maybe avoid the clams, hah)"
"31","I visited this restaurant on a Friday evening with my boyfriend and we both had a wonderful experience. The staff was very attentive and we were immediately sat. We chose to sit at the bar and our bartender was very personable and made us both the wonderful capri sun style drinks. We ordered calamari, the crab legs, sausage and shrimp. The sausage was AMAZING as were the crab legs. You get a good amount of food relative to price. The place is clean, well lit, and has great decor. I think it is in a great location and a rare restaurant in Cleveland. I would definitely go back! If you had a bad experience, give the place a chance, all new restaurants go through ups and downs but Cleveland deserves a boiling seafood restaurant!"
"32","We got a pound of clams and some sides. The clams were covered in a delicious sauce (the third option, forget what it's called). Unfortunately, many of the shells were empty. Upon complaining we received excellent service- drinks on the house and beautiful conversation with the cook, Team Ny  (his real name -- ask him about it.) Stop in, it's a comfortable place with innovative food. (But maybe avoid the clams, hah)"
"33","I grew up on the Gulf Coast and I miss the crawfish boils and delicious, well-seasoned seafood. After basically giving up on finding good Cajun food in Cleveland, particularly crawfish, I am so happy that this place has opened.Went there on 7/7/17, and they said they've been open for a couple weeks. They're clearly still figuring things out. Our waitress let us know that they're still seeing what's popular before they put together combo meals, and that one of the mixed drinks wasn't being made anymore because it hadn't gotten a good reception. I thought the food was hands-down delicious, and I appreciate them being critical enough of themselves to be in a period of morphing their menu toward what the customer enjoys.Their format now is you choose your seafood by the pound, a sauce, a spiciness level, and any sides. It all gets cooked in a bag to make a big bag of deliciousness. We got shrimp, mussels, crawfish, corn, and potatoes with hot bomb diggity sauce. Definitely a delicious and fun meal. Overall, the experience, service, food, and drinks were all great. Can't wait go to back."
"34","We got a pound of clams and some sides. The clams were covered in a delicious sauce (the third option, forget what it's called). Unfortunately, many of the shells were empty. Upon complaining we received excellent service- drinks on the house and beautiful conversation with the cook, Team Ny  (his real name -- ask him about it.) Stop in, it's a comfortable place with innovative food. (But maybe avoid the clams, hah)"
"35","I grew up on the Gulf Coast and I miss the crawfish boils and delicious, well-seasoned seafood. After basically giving up on finding good Cajun food in Cleveland, particularly crawfish, I am so happy that this place has opened.Went there on 7/7/17, and they said they've been open for a couple weeks. They're clearly still figuring things out. Our waitress let us know that they're still seeing what's popular before they put together combo meals, and that one of the mixed drinks wasn't being made anymore because it hadn't gotten a good reception. I thought the food was hands-down delicious, and I appreciate them being critical enough of themselves to be in a period of morphing their menu toward what the customer enjoys.Their format now is you choose your seafood by the pound, a sauce, a spiciness level, and any sides. It all gets cooked in a bag to make a big bag of deliciousness. We got shrimp, mussels, crawfish, corn, and potatoes with hot bomb diggity sauce. Definitely a delicious and fun meal. Overall, the experience, service, food, and drinks were all great. Can't wait go to back."
"36","I visited this restaurant on a Friday evening with my boyfriend and we both had a wonderful experience. The staff was very attentive and we were immediately sat. We chose to sit at the bar and our bartender was very personable and made us both the wonderful capri sun style drinks. We ordered calamari, the crab legs, sausage and shrimp. The sausage was AMAZING as were the crab legs. You get a good amount of food relative to price. The place is clean, well lit, and has great decor. I think it is in a great location and a rare restaurant in Cleveland. I would definitely go back! If you had a bad experience, give the place a chance, all new restaurants go through ups and downs but Cleveland deserves a boiling seafood restaurant!"
"37","I grew up on the Gulf Coast and I miss the crawfish boils and delicious, well-seasoned seafood. After basically giving up on finding good Cajun food in Cleveland, particularly crawfish, I am so happy that this place has opened.Went there on 7/7/17, and they said they've been open for a couple weeks. They're clearly still figuring things out. Our waitress let us know that they're still seeing what's popular before they put together combo meals, and that one of the mixed drinks wasn't being made anymore because it hadn't gotten a good reception. I thought the food was hands-down delicious, and I appreciate them being critical enough of themselves to be in a period of morphing their menu toward what the customer enjoys.Their format now is you choose your seafood by the pound, a sauce, a spiciness level, and any sides. It all gets cooked in a bag to make a big bag of deliciousness. We got shrimp, mussels, crawfish, corn, and potatoes with hot bomb diggity sauce. Definitely a delicious and fun meal. Overall, the experience, service, food, and drinks were all great. Can't wait go to back."
"38","I visited this restaurant on a Friday evening with my boyfriend and we both had a wonderful experience. The staff was very attentive and we were immediately sat. We chose to sit at the bar and our bartender was very personable and made us both the wonderful capri sun style drinks. We ordered calamari, the crab legs, sausage and shrimp. The sausage was AMAZING as were the crab legs. You get a good amount of food relative to price. The place is clean, well lit, and has great decor. I think it is in a great location and a rare restaurant in Cleveland. I would definitely go back! If you had a bad experience, give the place a chance, all new restaurants go through ups and downs but Cleveland deserves a boiling seafood restaurant!"
"39","We got a pound of clams and some sides. The clams were covered in a delicious sauce (the third option, forget what it's called). Unfortunately, many of the shells were empty. Upon complaining we received excellent service- drinks on the house and beautiful conversation with the cook, Team Ny  (his real name -- ask him about it.) Stop in, it's a comfortable place with innovative food. (But maybe avoid the clams, hah)"
