"","x"
"36","So I'll start off with the negative...the service was not that great. The waiter took forever to come to our table for drinks and breadsticks. So don't go when you're hungry because it's a wait. Other than that I loved the food! Their breadsticks are always warm and fresh. I also had their gnocchi soup which never fails to please me. I created my own pasta. I was very pleased they had whole grain pasta on the menu. So I had whole grain pasta and their parmesan pesto sauce with 2 Italian sausage links. It was a nice meal but as I said before it would have been nice if the server was around more."
"37","Nearly every time I visit Olive Garden's Harvard Park location, the bartender allows dirty dishes to accumulate, and linger on the bar for long periods of time. I sat at the bar for almost an hour, and saw no effort being made to clean off the bar.  The restaurant wasn't even busy. Apparently, keeping a clean bar is not a priority to any of the bartenders at this location, as I've witnessed this problem for years."
"38","Worst Olive Garden experience ever.Tasteless food. The bartender was friendly but so busy that it was hard to get any service. One server was leaning backwards in the bar window and his dreads were nearly in some kid's apple juice. Gross."
"39","Never again. First, the servers do not know how to serve and need to be trained or maybe just care. Second, my knife was filthy and so i asked the server (Nadia G.) for another set. She brought it after i asked a second time. My party and I started off with the stuffed mushrooms and calamari. The mushrooms nearly burnt our mouths from being intensely hot inside. I had the carbonara dish with shrimp and chicken and again my dish with speghetti was piping hot. Speghetti is never piping hot unless it's nuked. The shrimp was very tight because it was nuked also. This took some of the taste away. It was not good. Besides that it was very overpriced. I asked our server how much because the description was not on the menu and she stated $16 and change. When I got the check it was $2 higher.My friend had eggplant parmigiana and he also said he could tell it was nuked. I ordered iced tea with my meal. The server told us we could pay by using the pay yourself option that's on the table but never came back to ask us if we wanted to do that option. After she brought our entrees she disappeared. Never asked me if I wanted a refill of tea or to give us our checks and left our dirty dishes on the table for 45 minutes until I asked someone else if the table could be cleared. We asked for the mgr and informed her of the blazing hot food and we knew it had been nuked and also why our dirty dishes were left in front of us. She apologized and comped us the entrees and kindly asked if we wanted dessert but we passed. When paying the check our server gave my friend about 75 cents too much and shorted me my 58 cent change.  I think she was too lazy to want to count it out. I will never eat here again."
"40","I go to Panera Bread often because I know what they serve and that it will be consistent. Usually they have very nice staff. Not this Panera. I was the only person in line and the staff was lackadaisical at best. When my coffee came up, they said they called my name I sure didn't hear them, but they never repeated it. They were not busy with customers. The apathy put me off. The egg sandwich was runny all down my shirt. When an egg sandwich is ordered one expects it to be done so it doesn't run all over your clothes. Poor customer service."
"41","I love Panera, but not this one. If you want to use the catering service select a different cafe. Each and every time I ordered catering there was an issue and I order catering often. I usually write lengthy reviews but I refuse to spend a significant amount of time on this store. It's my hopes that someone will hear the complaints of your customers and get this store and it's manager some serious training. For now, I use the Panera on Cedar Rd. and have had no issues. I suggest any catering customers do the same."
"42","This particular Panera branch is absolutely horrid. I ordered a simple bagel with cream cheese, sliced and toasted. When I got my bagel, the top portion had been sliced so thin (literally, it was 1-2cm thick) that it burned to the consistency of a potato chip. When I inquired about possibly getting a new bagel, the individual behind the counter said ""no,"" and that it was ""your fault for ordering it toasted."" Wtf? On a separate visit with my family, the soups and mac n cheese we ordered ranged from  lukewarm to bone cold. When we took them back to the counter, we were instructed to use the microwave located near the napkin dispenser. Again, wtf??! AVOID this Panera Bread like the plague. It's most certainly not up to the par of other Panera locations.EDIT: I've called corporate regarding my above experiences, and was informed that I was not the first person to complain about this particular branch. Just an FYI."
"43","Do not go to this Panera Bread, the service is absolutely ridiculous. Every single time I go there my order is messed up. Today they gave me two different sandwiches and still did not get it correct. Don't waste your money and save yourself a headache, they should be out of business. The last time my order was messed up I called and was lied to by an employee who told me they were a manager. He then continued to call me vulgar names, the GM didn't seem to care about this."
"44","One and done.Got a tuna sandwich and it was bland. Bread was basically hardtack. The lemonade was pretty good. Service was, to be kind, a tire fire. Place was generally dirty. Layout makes no sense either. Basically you wait in line forever, get rude service, walk around the corner, wait forever, and hopefully recognize your order."
"45","Don't expect much from this location. We just ordered a fair amount of food at a hefty price and almost every order was messed up. We did the online ordering and things were clearly omitted, however, found their way onto every order and paid for items that were not included. Also the poor attitude of whomever answered to phone when we called to check if the order was ready, was completely uncalled for. If you like salty attitudes, your order wrong and paying for things you don't get, this is the place for you. But if you want decent service and  getting what you order avoid this location!!"
"46","Had food catered by this Panera location for a meeting I was hosting at my job. Delivery driver spilled half of the soups that we ordered in the parking lot. When asked about getting the money for the spilled soups refunded, we were instructed to call the Panera directly. Called them and got the run around about getting a refund because they wanted the card number again. It was a company card that our director was in possession of, and he wasn't in the office; so I waited until the following day to call back.When I called the following day I was made to feel like I was being less than reasonable for wanting a refund for the spilled soup. The lady brought up how it spilled in transit. I felt bad for the delivery driver; but that doesn't change the fact that we ended up short on soup for half of our guests. I also advised the lady that we did not receive baguettes for the soup we ordered. She told me they were packed in the bag (which they weren't) and proceeded to try to explain what a baguette was as if I didn't know. At that point, I was over it, and I asked for a refund for the spilled soup as well as the $20 tip charged to the card prior to service. She seemed surprised, possibly even insulted. I'm not saying accidents don't happen, but what ever happened to taking the initiative to make things right when a paying customer doesn't get what they paid for? Definitely will not be ordering from this Panera again under any circumstances."
"47","The cashiers seem like you're inconveniencing them, the counters were dirty and many tables had crumbs and was not clean.  The bathroom had no soap. And they ran out of milk, half n half, and had only slim milk for coffee at noon on a Saturday. The dispenser was sticky and nobody seemed to care.  Please panera, come fix this place. The wifi doesn't work. Mgt needs to evaluate how badly managed this place us"
"48","The avocado on my turkey avocado BLT consisted of two pieces, both completely raw, inedible with parts of the seed still attached :(  on top of that there was no dressing in my Greek salad.  It really sucks to spend 15 dollars to get something like that!! I could have gotten an Applebee's dinner for that price."
"49","I work at a panera location close by and asked for cups for water if I could have the medium size (because we get any self serve drinks for free) the manager was very rude and unprofessional he kept telling me he would call the panera I work at and ask them if I worked there. He was trying to threaten me or something when I have been working there for quite some time now. I just think that they need to get some more professional managers in there. Poor customer service!!!"
"50","They basically threw my food together and didn't care I had a avocado peel still on my sandwich and was only a piece of avocado and the they just threw a broke up loaf of bread in my bag"
"51","Rude customer service. The cashier acted as if we were inconveniencing her. And got an attitude when she gave me my food and I told her it was to go. She should have asked when I placed my order. I blame these types of attitudes on management. Why would you allow workers to act like this? Clearly from the reviews on here this is a problem at this location. Stop hiring people that are not friendly and that give bad customer service. Or better yet, teach them how to do this and expect nothing less."
"52","I love Panera, but not this one. If you want to use the catering service select a different cafe. Each and every time I ordered catering there was an issue and I order catering often. I usually write lengthy reviews but I refuse to spend a significant amount of time on this store. It's my hopes that someone will hear the complaints of your customers and get this store and it's manager some serious training. For now, I use the Panera on Cedar Rd. and have had no issues. I suggest any catering customers do the same."
"53","This particular Panera branch is absolutely horrid. I ordered a simple bagel with cream cheese, sliced and toasted. When I got my bagel, the top portion had been sliced so thin (literally, it was 1-2cm thick) that it burned to the consistency of a potato chip. When I inquired about possibly getting a new bagel, the individual behind the counter said ""no,"" and that it was ""your fault for ordering it toasted."" Wtf? On a separate visit with my family, the soups and mac n cheese we ordered ranged from  lukewarm to bone cold. When we took them back to the counter, we were instructed to use the microwave located near the napkin dispenser. Again, wtf??! AVOID this Panera Bread like the plague. It's most certainly not up to the par of other Panera locations.EDIT: I've called corporate regarding my above experiences, and was informed that I was not the first person to complain about this particular branch. Just an FYI."
"54","The service was nice. The food is good.I didn't order something complicated but what I ordered was as good as it could be. And, it took a reasonable time to get it."
"55","One and done.Got a tuna sandwich and it was bland. Bread was basically hardtack. The lemonade was pretty good. Service was, to be kind, a tire fire. Place was generally dirty. Layout makes no sense either. Basically you wait in line forever, get rude service, walk around the corner, wait forever, and hopefully recognize your order."
"56","A standard panera. Place is not the cleanest. Two floors, lots of tables, good for groups and studying."
"57","Had food catered by this Panera location for a meeting I was hosting at my job. Delivery driver spilled half of the soups that we ordered in the parking lot. When asked about getting the money for the spilled soups refunded, we were instructed to call the Panera directly. Called them and got the run around about getting a refund because they wanted the card number again. It was a company card that our director was in possession of, and he wasn't in the office; so I waited until the following day to call back.When I called the following day I was made to feel like I was being less than reasonable for wanting a refund for the spilled soup. The lady brought up how it spilled in transit. I felt bad for the delivery driver; but that doesn't change the fact that we ended up short on soup for half of our guests. I also advised the lady that we did not receive baguettes for the soup we ordered. She told me they were packed in the bag (which they weren't) and proceeded to try to explain what a baguette was as if I didn't know. At that point, I was over it, and I asked for a refund for the spilled soup as well as the $20 tip charged to the card prior to service. She seemed surprised, possibly even insulted. I'm not saying accidents don't happen, but what ever happened to taking the initiative to make things right when a paying customer doesn't get what they paid for? Definitely will not be ordering from this Panera again under any circumstances."
"58","The cashiers seem like you're inconveniencing them, the counters were dirty and many tables had crumbs and was not clean.  The bathroom had no soap. And they ran out of milk, half n half, and had only slim milk for coffee at noon on a Saturday. The dispenser was sticky and nobody seemed to care.  Please panera, come fix this place. The wifi doesn't work. Mgt needs to evaluate how badly managed this place us"
"59","Where to begin with this Panera location! Oh my. I love Panera and go there often for lunch, coffee, and for a place to study. I'm usually very satisfied with my meal and service, even though I think that the company overprices their items. However, my family and I had a HORRIBLE experience at this location. We went there for lunch, and the restaurant was mostly full with students studying. The only table open was one close to the back near the bathrooms. Typically, this wouldn't be issue, but at this location, it was. My father went into the men's bathroom and commented that it was the grossest bathroom he had ever seen in his life. We told one of the workers about the bathroom, and she proceeded to prop the men's door open to clean it. Given that we were at the table by the bathroom, the smell was horrendous and making all of us gag. My mother then asked the worker to close the door because we were going to be eating, and she rolled her eyes and didn't do it. At this point, we were already having a horrible experience, so we called the manager over. We told her what was happening, and she couldn't care less. She offered no help, and the bathroom door STILL was not closed. After all this, we received our food. I had ordered a full caesar salad and cup of soup. There were about two chopped pieces of romaine lettuce in my salad, and my cup of soup was half full. Once again, we called the manager over to ask about the portions, and she said she was ""just the manager"" and couldn't do anything about it. DO NOT GO TO THIS LOCATION! Rude, inconsiderate workers who don't care that customers are paying $50 for a lunch for 3 people."
"60","I love Panera Bread, especially this location. My food is always out quickly and the temperature is spot on. I have visited this Panera when out of town guests, friends or family are in town. I've even met here to sign papers. This location is friendly and inviting. I've even seen multiple people use the space to have meetings and interviews."
"61","I like Panera's food and I typically have a good experience there but my visit tonight was terrible.I visited at 6pm and it wasn't very busy at all. I ordered chicken soup in a bread bowl. They were out of bread bowls. OK, disappointing but I ordered a cup of soup anyway. That's all I ordered...a cup of chicken soup. And then I waited...and waited...and waited. After 20 minutes, only one person ahead of me had gotten her food order and it was clear that I wasn't getting my food anytime soon. So I returned to the register to cancel my order and ask for my money back. The kid working the register went and got a manager. More waiting. He cancelled my order and returned my money, and never spoke to me the entire time. I was in that Panera for almost 30 minutes and left without getting any food.So, to recap: no bread bowls, 20+ minute wait for soup, another wait for my money back, an unpleasant manager. Overall, terrible experience. If I could give this review zero stars, I would do."
"62","I went to Panera frequently (embarrassingly frequently) during my first two years of medical school in Pennsylvania.  Since I moved to Ohio, I haven't been here as often, partly because I'm burned out on it, and partly because there's better options in the neighborhood.  However, every once in a while a craving strikes and I make a visit.For whatever reason, this location does seem a lot slower than what I've been used to in the past.  This is especially problematic if you're trying to get a coffee and pastry to go in the morning.  Unlike other reviewers, I haven't had any problems with the employees being unfriendly or lazy, just not as quick as I'm accustomed to.  On the bright side, my to-go online orders have always been ready on time.  If you are planning on spending time to work or visit here, timeliness isn't as much of an issue, and then it's not such a bad location.  There are more outlets than I'm used to finding, WiFi works reliably, and the store itself is pretty clean.I may not be a regular here like I've been in the past, but it's not a bad spot to end up for lunch, especially if you're hungry for tomato soup."
"63","First off let me just say the service was slow. It took 15 minutes just to get a sandwich and a smoothie. The smoothie was horribly mixed......NOT worth $4+. Other than that the food was not bad at all."
"64","Very, very disappointing experience I had here. We walk in(me and boyfriend) and immediately you can see they only have three kinds of their bagel selection versus their normal 9-10 selection size. So we ask the employee if that's the only bagel selection they have and she replies, ""Yeah that's all we have, we ran out of everything else, we always run out."" It felt as if I should have known before I even asked that they ran out and that it was common for them to run out like this. So then we wanted to get a soup and a bagel and she recommends we get the bagel and drink so that we could add the bagel for 99 cents. We felt like we were getting some sort of deal, in reality we were not and the price still came out to be $18 including the cream cheese and everything.We realize the cashier doesn't make prices but we were definitely under the impression it'd be slightly more inexpensive to buy our items this way and it really didn't make much of a difference. Lastly, as we're waiting for our bagels, we were told they're out of both of the cream cheeses that we had asked for. Hazelnut had been discontinued, apparently, and the Hazel Walnut was out of stock. We settled for the blueberry which was still really good.Our soup was nice and hot and tasted great, on the plus side.Unfortunately, the shortage in bagels, cream cheese, and friendliness from the employees yielded this experience 2 stars. Far from my usual Panera experiences. I hope the next visit is not this way and I can change the rating."
"65","I love Panera and order delivery all the time, but this location is terrible. I was there for maybe 10 mins and saw at least 3 people get the wrong food. They forgot the chicken on my CHICKEN Caesar salad!"
"66","The employees all seem very unhappy to be here.  I'm not even saying they aren't making the effort to smile, they seem to be making the effort to frown.  Doing there job seems to be a pain.  Seemed annoyed to answer questions.  The facility is nice and the food is good like any other Panera but portions are small compared to price."
"67","I'm so disappointed with this service and place. Last time I came in (on Wednesday 8/30/17) it took them about 15 minutes AFTER I ordered and paid to start making my sandwiches. Then while they were making them the girl kept getting distracted and stopping to talk to other employees. Meanwhile, they didn't even make the sandwiches at the same time, so once the second one was made, the first one was cold from sitting there and the general manager Heather just stood by and watched. I came again today (Friday 9/1/17) and called 15 min before I arrived to place my order. When I got there, they didn't even start making my sandwiches yet. Once again, I had to wait probably 15 minutes and once the sandwiches were made, they were both completely wrong. I ordered two turkey sausage egg white & spinach sandwiches, one on a plain bagel, one on a cinnamon raisin. When I got my sandwiches, one was on an everything bagel and one was on a sesame. Also, both were regular sausage with tomato and cheese. When I asked for a refund the general manager heather just stood there once again and did nothing. Ironically, a man walked up behind me and asked if his second sandwich was re made yet because they messed his order up and he had been waiting for a while as well. I'm so disappointed, this was such a waste of time and money. I would give this place negative stars if I could."
